Review_Text,Improvement_Suggestion
"I have been using this app since 2021, but lately, it is not working for me. They have fixed the calories to be consumed. The calorie consumption needs to vary as per the exercise you do. In my case, I burn a lot of active calories; however, the consumption in the app remains unchanged, leading to a very low consumption of food and landing me in a medical condition. According to Healthifyme, I should eat only the fixed calories and do only the fixed workout. This can be dangerous.",Allow for flexible calorie consumption based on individual exercise levels
"Awesome app...I joined before also...but that time experience was unsatisfactory.....but now again I took a chance and joined it.....and the app is awesome....so easy to use. Useful trackers. And my personal dietician Simran and personal trainer Adish, they both are awesome....they are helping me a lot.....very friendly... I would recommend people to join...but yes...your weight loss or weight gain depends on a person's consistency as well....",Improve user consistency and satisfaction
"Not a good application, there is no choice to cancel the subscription. They offer 299 per month, and I tried to subscribe to that plan. And around 2999 rupees have been debited from my account. I think it was a monthly subscription. But it is a yearly subscription. They cheated on me. Didn't expect that from the team. Too many calls, and no response for unsubscribing a plan. People on the call look sleepy in the conversation. I lost my money. Very poor from the team. Please provide exact details.",Enable subscription cancellation option and improve customer support
"HealthifyMe is a great app for anyone looking to manage their health and fitness goals. It offers a wide range of features, such as meal tracking, exercise tracking, calorie counting, and more. The app also has a great community of users who can provide support and guidance. The user interface is intuitive and easy to use, and the app offers personalized health plans tailored to each user's needs. Overall, HealthifyMe is an excellent choice for anyone wanting to take control of their health!",Continue providing a wide range of features and personalized health plans
"The step counter increases for 1000 steps then it starts to go down by 100 - 500 steps and again starts to count from there until it reaches 1000 and again it decreases. I have been facing this for the past one and a half months. I tried calling the team, they assured me it will get resolved, but it's still the same. I would request the technical team to look into it and help us use the app smoothly. Thanks!",Fix step counter issue and provide reliable tracking
"The diet plan is not good. The meals are not even proper combinations. They are just randomly put together. I was asked to troubleshoot my diet plan, so I did, and then it stopped showing me food for dinner. I tried everything but can't seem to fix it. I had a similar experience last time but hoped they would have made changes. But I'm never using this app again.",Improve diet plan composition and fix issues with meal recommendations
"Using the paid version now. It used to show a nice graph of the weight loss over the entire goal period. Now, it shows only the tail end of the graph. Earlier versions used to revise your daily calorie intake if you were expending more calories. Currently, the calorie intake is fixed. This leaves you short of calories on days that you work out more. The support team has asked me to respond with a screenshot in the in-app chat. That function doesn't work 😞 and shows no images on the device.",Restore full graph view and revise calorie intake based on workout intensity
The step calorie burnt showing very wrong information. 740 steps showing 919 cal burnt. It cannot be more than 30-40 cal burnt for such small movement. Else we will not need any movement and just burn more calories than we walk. How can calories burnt be more than steps walked? Misleading app. Not reliable data. Lost confidence in other measurements too on this app after this. Don't recommend this app for health measurements.,Fix step calorie calculation issue and ensure reliable data measurements
"The app is best for tracking daily calories. However, I have one suggestion to improve it further. Right now, a user can add food which is not there in the database, but it asks for the ingredients. In this case, it would be better if a user can add a custom food and its macro information directly without adding its ingredients. Please incorporate this feature in the app as early as possible.",Add the ability to directly add custom food with macro information
"While the calorie tracker is good, paid subscriptions are overpriced. You can confirm this overpricing by trying to look at their subscription costs where they first show you some amount for subscription and when you try to exit, they offer some discount of 31%. If there was a discount already, then it should be shown clearly. You are looting the people who buy your service by showing overpriced costs and then reducing it and claiming it to be an exclusive discount.",Review subscription pricing and ensure transparent pricing structure
"It has been a good experience for the last six months, but for the past two weeks, it's not updating the target calories according to the calories burnt. This blunder has made counting calories really difficult for me. Hope they fix it soon, or else I'll have to switch to some other app.🤞",Fix target calorie calculation issue
"Reduce In-App Advertisements: The app aggressively promotes its premium services, bombarding users with multiple push notifications and banner ads as soon as they open the app. This intrusive advertising approach hinders the overall user experience, especially for those who only require the basic features for everyday tracking. It would be beneficial if the app developers could tone down the frequency of these push ads.",Reduce frequency of push notifications and banner ads
"The micronutrient tracker on the free version says upgrade to unlock all nutrients. It would be fair to assume that vitamins and minerals would be tracked. I upgraded, to find that only 5 micronutrients are tracked. On trying to complain and request a refund, I was simply met with a 'feedback will be passed to the team'. Edit: I have been issued a refund, a fair and commendable action on their part. It's rare that feedback actually gets passed on.",Improve transparency and accuracy of the micronutrient tracker
"I just want to know why you guys ask to post a story when you really don't want to publish it. Your app had asked twice for uploading a story. I did it and still, it is shown under moderation for weeks & months. Don't unnecessarily waste the time of app users if you are not interested in weight loss stories of non-paid members.",Streamline the story submission and moderation process
"Worst service, go for free apps instead of this paid app. There are many free apps that are better than this app. Here, post paying subscription fees, still they charge you for each service. Only food tracking and useless workouts are free in the main subscription plan. For everything else, you need to pay. Don't go for it.",Improve value for money and reduce additional charges
"App is good with diet and exercise, but I want to highlight that in the newer version, the exercise count volume has been reduced so much that it's very hard to hear the count. Please fix it as it is very helpful in some exercises.",Improve exercise count volume in the app
"I had a bad experience while using this app. The customer service was not responsive to my needs, and I felt like I was constantly being sold membership options without any real help. Whenever I called for fitness support, I was put on hold for long periods of time, and often my calls were not returned. Additionally, I found that the app did not work for me. The workout and diet plans provided were not suited to my needs.",Improve customer service responsiveness and personalize workout/diet plans
"Although this app has some good features like calorie tracking, etc., this app is a money-making machine. It asks money for everything. If a person is already going to the gym and paying for a gym subscription, then it doesn't make much sense to empty your pocket for this app.",Improve app monetization approach and provide added value
"The new updates are terrible. The meal calories are not changing according to the workout. It is simple math: the day you work out more, you can consume more calories, and the days you work out less, you should eat less. Why is this feature disabled? I am regretting paying money for your app. I suggest others not to fall for their paid subscriptions.",Fix meal calorie calculation issue based on workout intensity
"The initial experience in the transform plan was great, but as months pass by, the feedback from coaches is inconsistent, sometimes even pointless. I would recommend not subscribing for more than 3 months. In addition to that, coaches take leave for 20 days or more. Don't call when scheduled.","Improve consistency and quality of feedback from coaches, and ensure coach availability as per schedule"
I keep getting a pop-up of configuring some sensor. The title is 'Let's apply and pair your sensor.' It keeps popping up continuously with an irritating sound. You guys should fix this ASAP. I don't want to get disturbed all the time.,Resolve pop-up issue related to sensor configuration
There has been a small issue introduced in the latest app. My food calorie is not reflected on the main screen until I kill the app. There are small glitches as well. Please fix it.,Fix issues with food calorie reflection and address small glitches
"The app offered me a consultation call with a nutritionist. The person didn't call at the selected time nor did inform me beforehand about the delay, which is a basic courtesy. What a waste of time! I have faced the same issue before and given feedback through the app. Instead of working on it, the customer care asks you to upgrade to a higher plan! Disappointing, shoddy service. Posting feedback here on Playstore to caution potential customers. Expected better from HealthifyMe.","Improve consultation call scheduling and communication, address customer service issues"
"I am unable to edit the calorie budget as per my desired goals. It always shows 1500, which is wrong information. Even after updating burnt calories, this limit doesn't change. This is like providing wrong information and risking the health of users. Apps in the medical domain should pay more attention to these issues.",Allow users to edit calorie budget according to their goals and ensure accurate information
"Lots of bugs are there regarding target weight settings and food tracking. Also, most of the customer care executives do not agree to accept the issue. If I can't set my target weight, then... REPLY FROM HEALTHIFYME CUSTOMER CARE: As checked with the team, we cannot keep the target weight and current weight the same, and there will be at least a 1kg difference, as it's a weight loss or weight gain app.","Fix bugs related to target weight settings and food tracking, improve customer care response"
"The app and the intent of the app are good. But if you sign up for a premium service, beware. What they promise you, you will not get. I paid a package of SGD600+ in January. They said they would send a smart scale for me to measure physical parameters, etc. After almost a month and a half, I have not received that!! I was assigned a diet coach who did a good job of providing me with food options to manage my goals. But after the first few weeks, I am not getting any response from the coach.","Ensure fulfillment of promised premium services, improve communication with users and diet coaches"
"It is a great app. It helps you to be consistent in your approach to losing weight. Most importantly, despite eating in a measured way, one doesn't feel weak. Coach Dhairyata was a big help.","Maintain app's effectiveness in supporting weight loss, recognize and appreciate helpful coaches"
"I used to think the app was decent. Recently, I had paused the service for a month so I wouldn't get charged when I knew I wouldn't be using it. When it reactivated automatically the following month, the smart plan that I was charged for was not available for 11 days. Customer support was super slow and pointed fingers at different teams. Stay away if you have other alternative apps. They just take your money and do nothing. I won't be recommending this app to anybody.","Address issues with plan reactivation and availability, improve customer support responsiveness"
"Worst app! There is nothing in this that you have to pay for. They scheduled my call with a trainer and they just asked to update the plan and pay more and more. Even their trackers are just useless. You can simply do that on Google. If there is any way I can get a refund, then please let me know. There is no return in this app, so don't even think you can use it for some time and then get a return.","Improve trainer interactions, address issues with trackers, provide refund options"
"The customer care girl didn't tell me the cancellation policy. I was opting for 3 months, but she made it for 12 months. Now I want to cancel, but they are saying no as the 45-day time period is over. Who told me about that...? ₹36000 down the drain... At least they could charge cancellation fees and close the issue... but no.","Clarify cancellation policies to customers, improve customer care communication and assistance"
"Very disappointing app. After entering your details like weight, height, etc., they will schedule an appointment for you with a fitness consultant. AND YOU NEVER RECEIVE A CALL FROM THEM.","Ensure scheduled calls with fitness consultants are made, improve communication with users"
Way too many advertisements and literally everything is premium. There is absolutely no scope of trying some features before making a purchase decision.,"Reduce excessive advertisements, provide trial options for features"
This app is a mandatory support for every individual who lacks physical exercise. It controls your weight and promotes a healthy lifestyle based on a diet plan. It is the best app for lifestyle management.,"Maintain support for physical exercise, emphasize the app's role in promoting a healthy lifestyle"
"I have T1D, and every time I check my sugar levels, it always asks me whether I want to use HealthifyMe or the normal app I use for sugars... It would have been better without this feature... There is no option to disable it...",Provide an option to disable the constant prompt for choosing the app when checking sugar levels
"Don't get cheated by this app. First, they make you take a plan by any means and provide you a weight machine as a compliment, but it's already deducted in the plan. When it comes to diet and exercises, what they provide can be found in free apps, which are better. If you purchase and want to cancel, do it within 29 days; otherwise, they will tell only one thing: 'Sorry, sir, we can't refund according to our policies.' You also don't know if you're doing exercises the right way or wrong; you just have to do what they provide.","Ensure transparency in plans and deductions, improve the quality of diet and exercise content, provide clear refund policies"
"I'm using this app to calculate and track calories, but I feel the app shows underestimated calories for Indian food. Also, detailed reports and macros info are not available. There's a lot of scope for improvement.","Improve accuracy in calorie calculation for Indian food, provide detailed reports and macros information"
"There is no workout available related to Yoga. Nowadays, yoga is an international sport, and even in the Olympics, it will be played. So I think, being this app working in India and India having given yoga to the world, it is kind of a shame that this app is working without yoga workouts in India.","Introduce yoga workouts in the app, considering its popularity and significance in India"
"After tracking the food, it's not getting updated on the calorie counter. I need to close and open the app again to see the updated value.",Fix issues with food tracking not updating the calorie counter
"So, I have taken the smart plan for a year, and the customization they provided there is repetitive. In fact, it was the same for all the days. I have no choice but to mention that in reviews and Twitter that the company does not follow fair policies. What they promise to deliver, they don't after getting paid and exploiting their own customers. I only used it for 6 days, and they are charging ₹800 for 6 days, which is a very hefty cancellation fee without even delivering anything promised before the billing.","Improve customization in the smart plan, ensure fairness in policies and deliver what is promised before charging cancellation fees"
I feel there's some bug in the new app. Tracking details when entered are not updating properly. The whole purpose of the app is not getting served.,Fix bugs related to tracking details not updating properly
"This is an amazing app, really. I lost 10 kg in 3 months just by following their daily calorie intake and burn goal. The amazing thing is I didn't even subscribe to the pro version. Not even a single rupee spent. Just follow the exercises and do cardio by watching some YouTube videos.","Highlight the effectiveness of the app in weight loss through calorie intake and burn goals, emphasize the availability of free features"
"Keeps disturbing me with unwanted calls and blank calls and wastes my valuable time. They call me and don't speak up so that they get their call time target. Pathetic experience!! Very disturbing!! As if we have nothing else to do in our lives... Fraud, losers, cheaters... This is happening repeatedly... I have changed my rating from 5 stars to 1 star only due to these unwanted phone calls and disturbances created... If I get one more call, I am going to delete my account and uninstall this app...","Address issues with unwanted and blank calls, improve user experience and communication"
This app has really helped me track what I eat and realize how easy it is to overeat without knowing. It has certainly helped with portion control and maintaining a healthy weight and lifestyle.,Highlight the app's effectiveness in tracking and promoting portion control for a healthy weight and lifestyle
"This app used to be the best health tracking and calorie counting app, but from the past year this becomes a money making Machine or something, whenever you want to open something in app an ad appears asking for the membership, this is so much disgusting, I'm using this from 2016 but now this app becomes and ad and money making Machine, please make some features for free users also atleast who are using this from so many years.",Reduce ads and provide more features for free users
"I have been using HealthifyMe app for 6 months now and I am very happy with the results. The app is very easy to use and has a lot of features that help me track my nutrition, plan my diet, get fitter and healthier. Some of the features that I love are: - The calorie counter that lets me log my food intake and shows me how many calories, carbs, protein and fat I am consuming. It also has a large database of over 55,000",No improvement suggestion provided
"Their updated app really sucks. Unable to edit weight goals and screenshots are giving black screen, so not able to share. Plus support is really poor even for paying members.","Fix weight goal editing, resolve screenshot issue, and improve support"
The app is amazing... But I'd like to suggest healthyfyMe to add skin care.. Example 'it's time to wash ur face',Add skin care feature
"There are too many bugs, and you can't even change your food after activating your smart plan. There are options available, but when you attempt to use them, you receive an error. It's not user-friendly, and the price is too high considering these issues.",Fix bugs related to food change and improve user-friendliness
"For everything, we need to pay. But Not much useful. Saying to pay Rs.299 per month but later showing to pay Rs.3000 or Rs.4000 I agree health is an investment. That's why I installed your app earlier. But my question is, why your app is saying Rs.299 per month but when try to pay it is showing Rs.3000 per month?? There must be some reliability rather than giving strange information",Ensure pricing consistency and improve transparency
"After the last update, calories won't get updated in home page after food calories is entered until after app is re started. Very irritating",Fix calorie update issue after entering food
"I am on a pro program and I am using it for past 1 year. Current update of adding time with meal tracker is annoying. I don't add everytime I just finish a meal. Also the minute dial is waste. Scrolling to go back 30 min is hectic. As a design also, time dial is one more step that reduces tracking. As a user I have two options : 1. Don't care about time, just click done. But time is good asset just minute dial is too hectic interface.(Change is to input or have shortcut of 15 minute)",Improve meal tracker time input for better user experience
"It has a one-way sync with other fitness apps. HealthifyMe reads data from other fitness apps but never writes any data to them. So if the app is synced to Google Fit, it never writes the calories intake to Google Fit. It only reads the steps and other details. EDIT: In response to the dev, having an option to two way sync would be helpful. The user can decide how they want it.",Implement two-way sync with other fitness apps
Much improvements needed. Sync with Samsung watch except step count doesn't work even with health connect/ gogle fit. Optional meals except fixed 5 should be there like morning tea or optional random snack. You have to cram every thing in one meal. Good but can be way more better. Stick to free one as premium is no better. App is just a vague calorie counter. Suggestions are not upto the mark.,"Improve sync with Samsung watch, add more optional meals, enhance premium features, and improve suggestions"
First time user of this app. I dont recommend it. The amount that they provide is iffy. Constant ads and they ask for your phone number. their cal count is 5 meals per day. And can only be changed with premium. So your cals is divided in between the 5 meals. Its just demotivating that just 1 meal will just go over the cal amount. Quantity is illogical too. I really dont suggest to try.,"Reduce ads, reconsider cal count and division, and improve quantity logic"
"I purchased the smart plan and only a few days in decided to cancel it as it's not as useful as i thought it would be and they absolutely refuse to give me a refund even though it's only been a few days since i bought it and not even a week. This is just not done. If I'm purchasing a plan, there should be a cooling off period wherein i can cancel and get a refund in case it's not useful and the way they ABSOLUTELY DENY refunding me back even after asking a hundred times is just not done.",Introduce a cooling off period for plan cancellations and consider refund requests
"Inaccurate calorific values for various foods in the free version, which sabotages diet. Wonder if the paid version has accurate calorific values. Either way, don't trust or use this app. Even Google is a safer bet.",Improve accuracy of calorific values for foods
"good apps, it has most menu lists. it would be good as well if it has a barcode scanner to identify the food and its nutrients contents.",Add a barcode scanner to identify food and its nutrients
I had paid Rs.30000 for a 2 year subscription and initially there was a dietitian and a fitness coach who was connected and interact frequently. After 6 months both of them left and they assigned another set of dietitian and coach who never interact and gave a diet chart without even talking to me. I don't even know most of the items in the diet chart as the names given are Hindi or some local language,"Ensure consistent and frequent interaction with dietitians and coaches, provide diet charts in familiar languages"
"Even after paying, the fitness guy never called as per the scheduled time. After much probing he called and wasted 20 mins of my life promoting the app and upselling to. Worst experience! This all is a scam based app, better to work with licensed trainers and dieticians rather than this call centre based apps.","Improve scheduling and professionalism of fitness calls, prioritize user experience"
Took subscription and to be honest not worth it.... they claim its AI based app and all recommendation are from AI ...to be honest they are just missing the word AI ... And the so called health consultant call is nothing but a call to upgrade the plan...,"Enhance AI-based recommendations, improve health consultant calls"
"I spent my 15000 in this apps subscription but the diet plan was not beneficial for me. It is not value for money, not worth it. We lost our 15000 Rs. . It was not helping us so, we tried to cancel the subscription to take our money back. They told us it is not possible to give money back so i said to give half of it but they didn't gave .This app deserve rating in negative points. Faltu app. This apps diet plans are not proper. Please dont belive in this app this is fake. Subscription is fake","Address the issues with diet plans, consider refund requests, and improve customer support"
"Healthify is the best app if you are looking for optimum health as it allows you to focus on many parameters like calories intake, calories burnt, water intake, sleep cycle and many more. So go for it if you want to healthify.",No improvement suggestion provided
I have seen great results with Healthify me within 45 days. Diet really works and a coach following up with you takes it to a whole other level. I sincerely recommend it!,No improvement suggestion provided
"There's a flaw with the app, compared to iOS app, when you select grams and enter value, the calories doesn't update with it, you need to reselect grams for it to update, which is an inconvenience",Fix calorie update issue when selecting grams
These guys are big scammers. App is good but the people running it are just scamming for money only wants you to pay for subscription and after that also will keep asking you to pay more and least bothered about your weight loss.,"Improve transparency and customer support, prioritize user's weight loss goals"
"its all gd before..we can count calories and take an insight of our daily meals..bt now the developer became greedy for subscription and put everything under money..if u rather dont want any specific coach or diet plan..even then u hv to pay. jst for maintain daily records.! if u are a free user,u cant take a look for insight any meals now..this is bad..dont be so mean developer..if we need anything spacial..we then buy a plan..bt if we dont need..then let us use minimal access of the app.",Provide access to meal insights for free users and consider user needs outside of specific plans
I am unable to open the app in Samsung A73-5G. I have tried to reopen by clearing cache as well but unable to succeed. Can you please check and fix it.,Resolve issue with app not opening on Samsung A73-5G
Its a very good app for those who want to track their food. There are every item in the options of food and can make it easy to reduce fat.,Improve food tracking options and enhance fat reduction features
"Latest app update has broken the calorie counter. It now doesn't account for the calories burned due to physical activity like exercise, steps, etc. Hope it is fixed soon.",Fix calorie counter to account for calories burned during physical activity
"It is a waste of money. I tried it for a one-year subscription. After paying, they don't even bother about you. Whatever is suggested by the AI app is all found on the internet for free. So, my suggestion would be to not waste your money and time and start doing it yourself.",Provide unique and valuable content to justify the subscription cost
"Nice app, I'm following calories count, water intake, and working out strictly. It is very effective. Highly recommended.","Enhance calorie counting, water intake tracking, and workout features"
I had a really bad experience. I subscribed to this for one year for 1500. Then I came to know that the diet plan I got is completely computerized based on artificial intelligence. Totally the worst use of money.,Improve personalized diet plans and provide human-based assistance
"I'm a premium user of the app. My diet coach and fitness coach have created a personalized workout and meal plan for me considering my goals. So far, I'm pleased with their service. It matches my expectations.",Continue providing personalized workout and meal plans for premium users
"Too money hungry. Can't perform any useful features without paying. Lock the entire app behind a paywall on the Play Store itself, it would be better for people to know what they're getting into.",Offer more useful features for free and provide clear information about in-app purchases
I have lost almost 7kgs using this app by 2022. Excellent app and it's very motivating. Helps to monitor our progress.,Maintain motivation and progress tracking features
Why does it hijack my phone with a popup message saying sync some settings? I will sync if I feel I need it. DO NOT THRUST THAT UPON ME. I WARN YOU.,Minimize intrusive pop-up messages and allow users to control syncing settings
"It's a completely false app to take money from us. Don't even agree to the packages. Once you have started, there is a chance to stop.",Ensure transparency and fairness in pricing and package options
Good app for maintaining a balanced diet. But one main issue in this app is that you people disturb so badly again and again in calls to buy your diet packages. It's really annoying. Please don't do this again.,Reduce excessive marketing calls and focus on user experience
"Overall a well-thought-out app, motivates you to keep track of your diet by certain nudges. Tracking each manually can get boring after some time. I would love to see a feature that lets you scan the plate and auto-fetch the contents. All the best.",Introduce a plate-scanning feature for automatic food tracking
"After using it for 12 long months as a premium user and as well as a pro user, I could say that it's a good app if you do your part honestly and persistently. But the app still needs some improvements, like the workout tracking and the diet plan. There should be a menu to view how many days one has followed the plans, like in the form of graphs. It would be very useful. And as always, the steps syncing has always been a problem.","Improve workout tracking, provide better visualization of plan adherence, and address steps syncing issues"
"Once the app is downloaded, it only has advertisements and plans. Basic features like editing calorie budget and meal calories are locked, and you have to buy a plan to use the feature. So, this app has been developed as a platform to sell features and meal plans. You just cannot use this app as is or without buying a plan. Feel cheated on downloading this app.",Unlock basic features for free usage and improve transparency
"Overall a good app and guidance from coaches. I see a challenge after the recent update. I messaged the coaches, but the task list does not recognize it at all. Can someone look into it? I am editing my review because you guys saw 4 stars but did not address the issue I highlighted. Read it again.",Improve responsiveness to user messages and address issues reported by users
"I have been using this app for quite some time now. Even though the calorie tracking is great and includes all Indian food, I am on the hunt for another good app. Extremely annoying marketing tactics and ads. You can market your product, inform the customer about new add-ons or launches, but that doesn't mean you spoil the basic experience for the customers. Disappointed.",Reduce annoying marketing tactics and intrusive ads to improve user experience
"Very buggy and slow app. Prices of plans with partner option change at checkout. Was unable to purchase the plan, after some time the plan disappeared and it shows only other expensive plans. Very bad app experience, was looking forward to being a user.",Fix bugs and improve app performance during plan purchase
"It does help in tracking meals and calories, but this is not enough for losing weight. It does not provide meal options based on health conditions. There should be a diet plan based on basic health conditions in the basic plan. The steps tracker does not sync with Google Fit data.",Expand meal options based on health conditions and improve synchronization with Google Fit
"I didn't love the app. I purchased its Smart Plan and that's totally a waste of money. No seasonal diet, the diet is completely the same for winter and summers. I'm having almost the same diet daily. Although the app is good to calculate your daily calories, and it's free of cost.",Introduce seasonal diet plans and improve variety in daily meal suggestions
"The app allows you to track your diet. However, almost all features are exclusive for paid memberships. It does not allow you to edit your calorie budget for the day if you are not a member. It would be of more help if a few more features were available for free.","Provide more free features, including the ability to edit the daily calorie budget"
Difficult to add your intake. Bug while deleting misspelled words. Then very slow in showing results...,"Simplify intake tracking, fix bugs related to deleting misspelled words, and improve performance"
"Terrible customer support. It takes hours to get a response through customer support, and this app is trash. You'll be lucky to get a proper coach.",Improve customer support response time and quality
"I have been using it for 6 months. The diet plan is not effective for thyroid patients. They give so many reasons for us and realize that we are only making mistakes. They are all the time behind the logs' updation in the app and not at all concentrating on what we are communicating over the calls. Refund is the worst among all. When the plan is not effective, definitely we can cancel it. They convince us so nicely while taking the plan, but no response if we want to cancel it. They give so many reasons.","Address the specific needs of thyroid patients in the diet plan, improve communication with users, and streamline the refund process"
The recent update has caused many problems using the interface. Changing the menu from 'show more options' leads to crashing the app and changing the menu and also deleting the logged or tracked food. Request you to please fix it asap.,Resolve interface issues and prevent app crashes when changing menu options
"I will never suggest anyone buy the Smart Plan. It has the option to set our macros according to a balanced diet, low carb high protein diet, or any custom macros options. But here comes the catch, though you have made changes to your micronutrients budget (high protein low carb or any custom settings), the app will still give you a diet chart according to balanced diet micros only. Even the support team was unable to resolve this issue. Use this only for free food tracker & water reminder.",Fix the issue with Smart Plan not generating diet charts according to customized micronutrient settings
"Really good app to track fitness, especially tracking your eating habits and diet. But do not get attracted by some offer and purchase the Smart Plan. It is useless; better use the free app only. If you want to purchase plans, then go for expensive plans with coaches. Overall, great app.",Improve the value and usefulness of the Smart Plan and provide better options for users
"It has become more ads and YouTube video-oriented now. YouTube videos take up most of my mobile screen, and data entry fields are nowhere to be seen. The app has become very, very slow. And as I can see, people are complaining a lot about it, but still no improvement, so... Bye bye...","Reduce ads and YouTube videos' prominence, improve app speed, and address user complaints"
"Had an experience where when I first logged in, I had a different price for the plans, and later, say after 30 minutes, when they called and got to know that I'm abroad (thinking that could be the reason), I can't see any plans that were starting from 1000 range. It's so sad to change the price of the plan depending on the customer. Too much money-minded. I was ready to use this app until I figured this out. Now I'm out!",Ensure consistent pricing and avoid discrimination based on customer location
"Absolutely the worst experience with this app! They charge you for things that are easily available online for free. I took their 6-month plan but it was of no use, so I asked them for a refund. It's been more than 20 days, and they still haven't processed my refund yet. Please do not fall for this app.","Provide unique value to justify the cost, improve refund processing time, and enhance customer satisfaction"
"Great calorie tracker if you are a person who works out and has some knowledge on fitness. Personally use it for the same. They have many programs too for beginners and people who need some guidance. 3 stars because of a lot of ads and they really push their paid services on you, which can be skipped but is tedious doing it almost everyday.",Improve user experience by reducing the frequency of ads and less aggressive promotion of paid services
"This is a completely fraud app. Their Sales Managers just try to mint money from innocent customers by telling false information. They just want to sell their subscriptions on the basis of false info. Please do not trust their sales people at all. Once you purchase the subscription and come to know about the false information shared, you will speak to their customer care who will then just give you the assurances of taking action against those sales people. However, you won't get any other help.",Investigate and address concerns about false information from salespeople and improve customer support
I have been using this for the last 3 months now. I have lost a considerable amount of weight which I never thought was possible before. I had been doubtful about using this app but I am happy that I was wrong.,Improve user trust and address doubts about the effectiveness of the app
Not good. Even after 3 months it has not helped me reduce a single kilogram of weight. I have wasted my hard-earned money here. Very poor quality and service.,Investigate and address the lack of weight loss progress and improve the quality of service
"Worst app ever. They keep changing your coach without your consent, and it's a total waste of your time and money. You waste so much time with one coach and suddenly you get to know that your coach has been changed. They always call with unknown numbers, so if you miss the call, they will not call you again. Then what is the purpose of purchasing such a costly app if you can't talk to your dietitian regularly?",Address the issue of coach changes without consent and improve communication with dietitians
"I purchased the smart plan and only a few days in decided to cancel it as it's not as useful as I thought it would be, and they absolutely refuse to give me a refund even though it's only been a few days since I bought it and not even a week. This is just not done. If I'm purchasing a plan, there should be a cooling off period wherein I can cancel and get a refund in case it's not useful, and the way they ABSOLUTELY DENY refunding me back even after asking a hundred times is just not done.",Review the refund policy and consider introducing a cooling off period for cancellations
"The app was really good until recent days. But since the past 2 days, I have come across many bugs in the app.",Investigate and fix the bugs in the app
"The only problem with this app is that we can't see what we have eaten in the previous days. We can only see the calories of that day, not the food which we have eaten. This should be added.",Add the feature to view previously consumed food in the app
"I have bought their basic smart AI plan for 2000, so no ads, but their so-called fitness experts keep on calling to upgrade me to their expensive plans. It's just a sales pitch call. The sales guy demotivates you and pushes you towards their higher plans. It's predatory tactics. You guys should be ashamed of such practices. I am never renewing again after my plan expires.",Review the sales tactics and consider improving the experience for users with existing plans
"I am still on the journey and have just started only, please understand. I am far from my goals. But yes, my coach is very attentive and takes the pains to explain everything in detail as to what, why, and how to do. Appreciate her effort. Thanks, Coach Jagriti.",Recognize the efforts of attentive coaches and provide positive feedback
"Good app for maintaining a balanced diet. But one main issue in this app is you people disturbing so badly again and again in calls to buy your diet packages. I have told many times politely that I don't need the package and I am just using it to count calories, but I couldn't answer like this for a long time, so I started putting your mobile numbers on block. I have blocked 20 mobile numbers of this app. It's really annoying, please don't do this again.",Reduce the frequency of sales calls and respect users' preferences
"It was fine till my plan almost expires. I lost weight too. But the last 3 months, they were constantly forcing me to renew the plan. Last 2 weeks, I asked for maintenance diet and workout charts, but they didn't provide that. They constantly demotivate you, saying that you will return to your old form if you don't renew the plan. At the last moment, too, they are sending links for referral but didn't provide what I needed. Too much business. You are family till you are giving profit.",Improve the customer experience during plan renewal and provide requested support
Useless app. Does not even let us change the calorie intake. Even that feature is paid. What's the sense of keeping it free? Make it paid on Play Store itself. And stop showing ads for this app. Earn with pride... don't keep it free if you'll need revenues desperately.,Review the pricing model and consider improving the free features without excessive ads
"I booked a slot at 5.45 pm today. But due to some problem, I was unable to talk properly over the phone. The dietitian WhatsApp me, but till now, neither she replied to my text nor she called me. Horrible experience.",Address issues with communication and responsiveness of dietitians
"This is a complete waste. Being a pro user, I'm not able to schedule calls as per my convenience, not getting proper response on time from the diet coach. The diet plans are not revised and updated properly. Diet plans are not prepared as per our preference; it looks like they just copy and paste the other plans. I have used CGM and there was no detailed analysis and feedback from the coach on what to do and what not. Even the app is not user-friendly as tracking food is very difficult.","Improve the user experience with scheduling, diet plan customization, and detailed feedback from coaches"
"I have been nothing but delighted with my experience so far. I have been using Healthify for the last seven months, and the results have been fantastic. Be it the UX of the app, the attention to detail by the coaches, the diet and workout routines, it has been terrific.",Acknowledge positive feedback and maintain the quality of user experience
"I used to see the macro nutrients, but now I can't see and it asks for a subscription. Please allow us to see our macro nutrients, or else there is no benefit of the app.",Provide access to macro nutrient information for better user experience
"This app's new version really sucks. They have made it non-user friendly, and there are so many bugs in the app now. And when you try to log a query regarding the issue you are facing with the app, you don't even get a response from their team. If I could, I would have given a zero rating to this app. I wasted my money on this app. PLEASE DON'T WASTE YOUR MONEY ON THIS APP. THERE ARE FAR BETTER APPS IN THE MARKET. CHARGING WAY LESS.",Address the bugs and improve responsiveness to user queries
Awesome features with easy-to-follow instructions for the novice like myself.,Maintain the easy-to-follow instructions for better user experience
"Very useful app that everybody should have on their phone. One modification I would suggest is when you are doing a workout, you cannot minimize. It pauses automatically. It should run in the background.",Allow the app to run in the background during workouts for improved functionality
